Epoch,Cycle,Episodes,Timesteps,TimeCost(sec),Pi_q_loss,Pi_l2_loss,Q_loss,Success
4/20,19/20,5000,500000,94.35239911079407,3383.696293592453,166.1872112751007,462.52676479518414,0.99
5/20,0/20,5050,505000,77.96073293685913,3474.4212608337402,165.62039119005203,481.670428276062,0.87
5/20,1/20,5100,510000,79.81480979919434,3495.76389169693,165.96689461171627,485.48809076845646,0.61
5/20,2/20,5150,515000,74.36696219444275,3526.4534225463867,166.49631375074387,482.1954421699047,0.97
5/20,3/20,5200,520000,90.82717204093933,3578.019439935684,165.85702361166477,473.7828849107027,0.9
5/20,4/20,5250,525000,75.34327125549316,3590.7317316532135,165.02969220280647,470.35557551681995,0.91
5/20,5/20,5300,530000,86.06661105155945,3624.56223654747,165.00586405396461,475.22071847319603,0.89
5/20,6/20,5350,535000,78.36410808563232,3677.1300930976868,168.23441043496132,485.4323587566614,0.74
5/20,7/20,5400,540000,85.53726696968079,3679.5236377716064,166.8492892831564,472.52193151414394,0.97
5/20,8/20,5450,545000,74.04495310783386,3711.044198513031,164.53267239779234,463.4647334963083,0.93
5/20,9/20,5500,550000,80.71034908294678,3756.853306531906,166.30278140306473,471.18604612350464,0.92
5/20,10/20,5550,555000,89.57569885253906,3790.082839012146,164.41378036141396,453.25050473213196,0.97
5/20,11/20,5600,560000,82.65351796150208,3849.0139558315277,165.37933863699436,448.14042077958584,0.75
5/20,12/20,5650,565000,75.34387707710266,3884.0427508354187,167.129620552063,442.9714512974024,0.95
5/20,13/20,5700,570000,82.14176893234253,3891.2445232868195,168.02490390837193,457.6664946526289,0.91
5/20,14/20,5750,575000,90.73328590393066,3945.870285987854,165.02047860622406,458.3066756427288,0.98
5/20,15/20,5800,580000,83.15472197532654,3941.30566906929,164.7586432248354,452.3843605965376,0.99
5/20,16/20,5850,585000,75.75707006454468,3958.200167655945,165.95506481826305,470.0556160658598,0.93
5/20,17/20,5900,590000,83.40839195251465,3955.343531370163,166.29647779464722,462.97556729614735,0.99
5/20,18/20,5950,595000,88.32008004188538,4033.268592119217,163.5434622168541,454.69622829556465,0.97
5/20,19/20,6000,600000,80.97952008247375,4039.024674654007,164.78875614702702,458.02597139775753,0.85
6/20,0/20,6050,605000,81.07804989814758,4044.1433820724487,165.03976047039032,467.51070211827755,0.99
6/20,1/20,6100,610000,80.63524603843689,4050.7643387317657,164.91942928731441,487.71104224026203,0.98
6/20,2/20,6150,615000,83.84305715560913,4102.062348127365,166.50019854307175,467.83659456670284,0.89
6/20,3/20,6200,620000,81.26675391197205,4087.372154712677,167.12378454208374,487.15238749980927,0.42
6/20,4/20,6250,625000,81.01460695266724,4123.736181259155,168.52441687881947,487.63485008478165,0.9
6/20,5/20,6300,630000,83.4920608997345,4153.9686191082,166.7271584570408,487.7786531895399,0.96
6/20,6/20,6350,635000,74.48719787597656,4160.713134288788,166.01026266813278,472.2837648242712,1.0
6/20,7/20,6400,640000,72.37045073509216,4196.615601062775,166.62937861680984,460.1777087599039,0.97
6/20,8/20,6450,645000,80.80427503585815,4167.385361433029,168.34099520742893,452.3821776509285,0.73
6/20,9/20,6500,650000,83.31174182891846,4180.274872779846,164.06491427123547,475.22815965116024,0.99
6/20,10/20,6550,655000,75.23911190032959,4176.578845024109,165.79950292408466,457.56401862204075,0.83
6/20,11/20,6600,660000,77.29258012771606,4181.26979136467,166.90021254122257,485.14253911376,0.97
6/20,12/20,6650,665000,90.53274989128113,4170.628837108612,167.85461390018463,462.42182277143,1.0
6/20,13/20,6700,670000,80.1361780166626,4199.556498289108,166.4664286673069,453.1436256468296,0.99
6/20,14/20,6750,675000,78.54973125457764,4179.397016525269,164.81269964575768,469.01952862739563,0.96
6/20,15/20,6800,680000,88.85564494132996,4205.523931980133,164.33764262497425,467.9628354907036,1.0
6/20,16/20,6850,685000,83.07912492752075,4207.25373005867,161.92601390182972,454.26608891785145,0.97
6/20,17/20,6900,690000,75.25762510299683,4205.578956604004,164.43935105204582,441.06975297629833,0.97
6/20,18/20,6950,695000,86.44022107124329,4222.078246116638,161.47987440228462,449.9815003424883,0.98
6/20,19/20,7000,700000,91.5134608745575,4223.2877316474915,163.17228451371193,445.6861964762211,0.99
7/20,0/20,7050,705000,80.57077026367188,4197.486087799072,163.79259964823723,446.68863260746,1.0
7/20,1/20,7100,710000,75.81742215156555,4243.243287086487,163.12424728274345,445.9130840152502,1.0
7/20,2/20,7150,715000,81.25913381576538,4246.243246555328,163.33086164295673,426.6218596547842,0.99
7/20,3/20,7200,720000,82.07578802108765,4235.661869525909,163.60964482277632,414.76584626734257,0.98
7/20,4/20,7250,725000,83.79780673980713,4242.553463220596,161.81327234208584,413.4207390099764,0.98
7/20,5/20,7300,730000,74.26757407188416,4232.61102604866,163.0158876925707,403.811601921916,0.94
7/20,6/20,7350,735000,74.573312997818,4250.40447640419,162.21735456585884,427.23536244034767,1.0
7/20,7/20,7400,740000,76.86752581596375,4256.764054298401,160.6105590313673,427.62510769069195,0.92
7/20,8/20,7450,745000,70.54996395111084,4258.744605541229,160.80450457334518,436.5981646031141,0.98
7/20,9/20,7500,750000,71.72812724113464,4297.502951383591,160.42267693579197,416.5441754460335,0.98
7/20,10/20,7550,755000,82.37722110748291,4309.189468860626,160.4405307173729,416.9047977179289,1.0
7/20,11/20,7600,760000,75.72026181221008,4308.353336572647,159.3725604712963,412.6365065872669,1.0
7/20,12/20,7650,765000,74.53251886367798,4280.912876605988,161.0686151534319,412.84211237728596,0.98
7/20,13/20,7700,770000,72.94491004943848,4330.381302595139,161.4177337139845,433.36204536259174,0.99
7/20,14/20,7750,775000,73.73074793815613,4315.550793647766,159.85232220590115,415.71265418827534,0.99
7/20,15/20,7800,780000,70.05110716819763,4331.3458161354065,161.04869014024734,407.1585820168257,1.0
7/20,16/20,7850,785000,82.7603530883789,4323.048627614975,158.8216532021761,426.649529710412,1.0
7/20,17/20,7900,790000,72.3506510257721,4311.623207807541,161.87019254267216,421.7560223042965,1.0
7/20,18/20,7950,795000,75.76191282272339,4323.273993253708,161.54534047842026,410.0675692111254,1.0
7/20,19/20,8000,800000,65.68142628669739,4318.651204824448,158.81340549886227,405.1846435070038,0.97
8/20,0/20,8050,805000,72.48266410827637,4313.292124509811,159.86396904289722,416.1257913261652,1.0
8/20,1/20,8100,810000,64.90418291091919,4318.393821239471,159.50372587144375,418.9108122885227,1.0
8/20,2/20,8150,815000,69.07938194274902,4346.994786500931,156.97811982780695,406.6091967970133,1.0
8/20,3/20,8200,820000,69.18874430656433,4348.964985370636,160.28795459866524,404.81076614558697,0.99
8/20,4/20,8250,825000,70.18699717521667,4333.219470024109,159.4217278510332,434.37188087403774,1.0
8/20,5/20,8300,830000,71.3364360332489,4344.772959470749,158.1116145402193,418.29133109748363,1.0
8/20,6/20,8350,835000,68.93051099777222,4335.250714063644,160.41527754068375,414.4017427265644,1.0
8/20,7/20,8400,840000,77.96539330482483,4372.835482120514,160.29743760824203,408.2860851287842,1.0
8/20,8/20,8450,845000,67.45512890815735,4386.726533412933,157.58560483157635,427.5211512744427,0.97
8/20,9/20,8500,850000,69.79760670661926,4413.865494251251,159.34196904301643,404.6361095458269,0.99
8/20,10/20,8550,855000,70.83654308319092,4431.652678012848,161.61463497579098,396.63635267317295,0.99
8/20,11/20,8600,860000,68.98201775550842,4415.597346782684,158.27605764567852,448.14011047780514,1.0
8/20,12/20,8650,865000,68.00386190414429,4411.989937067032,159.78800830245018,437.92390790581703,1.0
8/20,13/20,8700,870000,66.34551501274109,4423.432252407074,158.94773802161217,427.0148471593857,0.99
8/20,14/20,8750,875000,70.29316878318787,4453.000708818436,157.96842320263386,454.8679513782263,0.99
8/20,15/20,8800,880000,71.1954460144043,4447.921467542648,160.51387840509415,443.25946958363056,1.0
8/20,16/20,8850,885000,63.325839042663574,4449.666671514511,158.63095079362392,430.45287035405636,1.0
8/20,17/20,8900,890000,72.79876494407654,4459.472182273865,157.19879934191704,443.7134560197592,1.0
8/20,18/20,8950,895000,69.60261702537537,4462.789461135864,158.68452471494675,451.83584743738174,1.0
8/20,19/20,9000,900000,62.47930288314819,4467.664656639099,159.23938718438148,439.7016689926386,0.98
9/20,0/20,9050,905000,63.14669895172119,4477.946250677109,159.75547483563423,440.74834501743317,1.0
9/20,1/20,9100,910000,69.999596118927,4486.106360435486,157.2622786462307,440.6968978047371,1.0
9/20,2/20,9150,915000,71.27045774459839,4533.217569828033,158.35317139327526,428.03580944240093,1.0
9/20,3/20,9200,920000,68.93279099464417,4515.535080194473,158.55733841657639,429.3046185076237,1.0
9/20,4/20,9250,925000,68.94871401786804,4527.997158050537,157.44691348075867,433.24439902603626,1.0
9/20,5/20,9300,930000,64.28493785858154,4516.7782163619995,160.81532295048237,437.5781468451023,1.0
9/20,6/20,9350,935000,67.23740196228027,4485.354867219925,160.24194060266018,462.3538271486759,1.0
9/20,7/20,9400,940000,62.040401220321655,4440.907644510269,158.02771513164043,462.51182271540165,1.0
9/20,8/20,9450,945000,64.4860098361969,4457.953054189682,158.21594494581223,441.9468324929476,1.0
9/20,9/20,9500,950000,60.52339506149292,4470.6555852890015,157.27075186371803,403.2612844109535,0.99
9/20,10/20,9550,955000,57.93310022354126,4464.401795387268,156.26641523838043,414.286862924695,1.0
9/20,11/20,9600,960000,63.376258850097656,4486.491815328598,156.2786056548357,432.7882657200098,1.0
9/20,12/20,9650,965000,59.6988730430603,4475.733072042465,155.76041708886623,409.8282672613859,0.99
9/20,13/20,9700,970000,63.17685008049011,4472.409477710724,156.9780614823103,387.84781147539616,0.99
9/20,14/20,9750,975000,57.461451053619385,4502.503450632095,156.93714099377394,414.24521477520466,1.0
9/20,15/20,9800,980000,69.42578792572021,4498.0281710624695,156.82101832330227,410.8964313864708,0.99
9/20,16/20,9850,985000,61.10745692253113,4552.089261293411,154.97381238639355,421.67945516109467,1.0
9/20,17/20,9900,990000,61.0242702960968,4522.3871717453,155.7084728255868,411.8600405752659,1.0
9/20,18/20,9950,995000,64.94853615760803,4584.0627954006195,155.18595327436924,431.03022046387196,1.0
9/20,19/20,10000,1000000,63.51718807220459,4547.830372333527,153.5466587394476,425.4532090872526,1.0
10/20,0/20,10050,1005000,67.57781600952148,4580.1632969379425,154.34668960422277,414.3234270364046,0.99
10/20,1/20,10100,1010000,64.73242807388306,4573.76341509819,155.63450578600168,446.5824165046215,1.0
10/20,2/20,10150,1015000,67.92200303077698,4564.794627189636,154.6158813238144,422.87079422175884,1.0
10/20,3/20,10200,1020000,72.96773600578308,4530.933985233307,154.90205574035645,420.25041887164116,1.0
10/20,4/20,10250,1025000,84.45192193984985,4566.808925151825,153.13401942700148,417.63237960636616,0.99
